Fire Size Class,Jurisdiction,Number of Occurrences,Protection zone,Response Category,Year
1,Saskatchewan,29,Intensive,Modified,2015
1,Saskatchewan,182,Intensive,Full,2015
1,Saskatchewan,30,Intensive,Modified,2016
1,Saskatchewan,73,Intensive,Full,2016
1,Saskatchewan,66,Intensive,Full,2017
1,Saskatchewan,75,Intensive,Modified,2017
2,Yukon,2,Limited,None,2008
2,Yukon,8,Intensive,Full,2008
2,Yukon,7,Limited,None,2009
2,Yukon,11,Intensive,Full,2009
2,Yukon,2,Limited,None,2010
2,Yukon,8,Intensive,Full,2010
2,Yukon,2,Limited,None,2011
2,Yukon,8,Intensive,Full,2011
2,Yukon,2,Limited,None,2012
2,Yukon,21,Intensive,Full,2012
2,Yukon,10,Limited,None,2013
2,Yukon,15,Intensive,Full,2013
2,Yukon,2,Limited,None,2014
2,Yukon,4,Intensive,Full,2014
2,Yukon,7,Limited,None,2015
2,Yukon,18,Intensive,Full,2015
2,Yukon,2,Limited,None,2016
2,Yukon,8,Intensive,Full,2016
2,Yukon,5,Limited,None,2017
2,Yukon,10,Intensive,Full,2017
6,Yukon,5,Limited,None,2008
6,Yukon,3,Intensive,Full,2009
6,Yukon,7,Limited,None,2009
6,Yukon,2,Intensive,Full,2010
6,Yukon,6,Limited,None,2010
6,Yukon,2,Intensive,Full,2011
6,Yukon,6,Limited,None,2011
6,Yukon,17,Limited,None,2012
6,Yukon,1,Intensive,Full,2013
6,Yukon,12,Limited,None,2013
6,Yukon,1,Limited,None,2014
6,Yukon,5,Intensive,Full,2015
6,Yukon,15,Limited,None,2015
6,Yukon,2,Limited,None,2016
6,Yukon,2,Intensive,Full,2017
6,Yukon,23,Limited,None,2017
3,Yukon,4,Intensive,Full,2008
3,Yukon,8,Limited,None,2008
3,Yukon,2,Intensive,Full,2009
3,Yukon,8,Limited,None,2009
3,Yukon,1,Intensive,Full,2010
3,Yukon,7,Limited,None,2010
3,Yukon,1,Intensive,Full,2011
3,Yukon,7,Limited,None,2011
3,Yukon,4,Intensive,Full,2012
3,Yukon,12,Limited,None,2012
3,Yukon,16,Limited,None,2013
3,Yukon,17,Intensive,Full,2013
3,Yukon,1,Intensive,Full,2014
3,Yukon,11,Intensive,Full,2015
3,Yukon,21,Limited,None,2015
3,Yukon,3,Intensive,Full,2016
3,Yukon,6,Limited,None,2016
3,Yukon,6,Intensive,Full,2017
3,Yukon,10,Limited,None,2017
7,Yukon,2,Intensive,Full,2009
7,Yukon,4,Limited,None,2009
7,Yukon,1,Intensive,Full,2010
7,Yukon,1,Intensive,Full,2011
7,Yukon,2,Intensive,Full,2013
7,Yukon,2,Limited,None,2013
7,Yukon,1,Intensive,Full,2015
7,Yukon,1,Limited,None,2015
7,Yukon,1,Limited,None,2016
7,Yukon,1,Intensive,Full,2017
7,Yukon,8,Limited,None,2017
4,Yukon,13,Limited,None,2008
4,Yukon,7,Intensive,Full,2009
4,Yukon,8,Limited,None,2009
4,Yukon,1,Intensive,Full,2010
4,Yukon,4,Limited,None,2010
4,Yukon,1,Intensive,Full,2011
4,Yukon,4,Limited,None,2011
4,Yukon,3,Intensive,Full,2012
4,Yukon,13,Limited,None,2012
4,Yukon,4,Intensive,Full,2013
4,Yukon,30,Limited,None,2013
4,Yukon,2,Intensive,Full,2014
4,Yukon,2,Limited,None,2014
4,Yukon,3,Intensive,Full,2015
4,Yukon,19,Limited,None,2015
4,Yukon,2,Limited,None,2016
4,Yukon,2,Intensive,Full,2017
4,Yukon,8,Limited,None,2017
5,Yukon,1,Intensive,Full,2008
5,Yukon,9,Limited,None,2008
5,Yukon,2,Intensive,Full,2009
5,Yukon,18,Limited,None,2009
5,Yukon,1,Intensive,Full,2010
5,Yukon,6,Limited,None,2010
5,Yukon,1,Intensive,Full,2011
5,Yukon,6,Limited,None,2011
5,Yukon,27,Limited,None,2012
5,Yukon,3,Intensive,Full,2013
5,Yukon,30,Limited,None,2013
5,Yukon,4,Limited,None,2014
5,Yukon,4,Intensive,Full,2015
5,Yukon,24,Limited,None,2015
5,Yukon,1,Intensive,Full,2016
5,Yukon,1,Limited,None,2016
5,Yukon,1,Intensive,Full,2017
5,Yukon,15,Limited,None,2017
0,Yukon,6,Unspecified,Modified,2018
0,Yukon,13,Unspecified,Full,2018
0,Yukon,20,Unspecified,Modified,2018
0,Yukon,28,Unspecified,Full,2018
1,Yukon,3,Limited,None,2008
1,Yukon,23,Intensive,Full,2008
1,Yukon,7,Limited,None,2009
1,Yukon,32,Intensive,Full,2009
1,Yukon,2,Limited,None,2010
1,Yukon,15,Intensive,Full,2010
1,Yukon,2,Limited,None,2011
1,Yukon,15,Intensive,Full,2011
1,Yukon,5,Limited,None,2012
1,Yukon,22,Intensive,Full,2012
1,Yukon,4,Limited,None,2013
1,Yukon,31,Intensive,Full,2013
1,Yukon,18,Intensive,Full,2014
1,Yukon,10,Limited,None,2015
1,Yukon,46,Intensive,Full,2015
1,Yukon,27,Intensive,Full,2016
1,Yukon,2,Limited,None,2017
1,Yukon,22,Intensive,Full,2017
